,Code,Title,CRN,Course Time,Professor,WRIT,DIAP,FYS,SOPH,CBLR,CSE,Department,Course Code,Previous Professor,Previous Semester,Course Rating,Previous Professor Rating,Average Hours,Maximum Hours,Number of Respondents,Class Size,Same Professor
0,AFRI 0090,An Introduction to Africana Studies,16597,TTh 2:30-3:50p,A. LeSure,1,1,0,0,0,0,AFRI,0090,F. Hamlin,Fall 2013,4.67,4.87,5.09,7.45,22,30,False
1,AFRI 0090,An Introduction to Africana Studies,16597,TTh 2:30-3:50p,A. LeSure,1,1,0,0,0,0,AFRI,0090,C. Walker,Fall 2006,4.44,4.03,,,16,22,False
2,AFRI 0670,Global Black Radicalism,17689,M 3-5:30p,P. Sylvain,0,1,0,1,0,0,AFRI,0670,B. Meeks,Fall 2020,4.38,4.79,2.5,6.5,4,21,False
3,AFRI 0840,"Monuments, History, and Memory in the United States",17913,T 4-6:30p,R. Ater,0,0,0,0,0,0,AFRI,0840,R. Ater,Fall 2020,4.58,4.87,5.6,7.6,5,15,True
4,AFRI 0850,Queerness in Caribbean Literature,16642,TTh 9-10:20a,D. Maye,0,1,0,0,0,0,AFRI,0850,G. Lamming,Fall 2006,3.16,2.81,,,8,8,False
5,AFRI 1050A,Advanced RPM Playwriting,25119,W 10a-12:30p,E. Terry-Morgan,0,1,0,0,0,0,AFRI,1050A,E. Terry-Morgan,Spring 2009,4.56,5.00,,,1,1,True
6,AFRI 1050D,Intermediate RPM Playwriting,25120,W 10a-12:30p,E. Terry-Morgan,0,1,0,0,0,0,AFRI,1050D,E. Terry-Morgan,Spring 2009,4.83,4.83,,,2,3,True
7,AFRI 1050E,RPM Playwriting,25121,W 10a-12:30p,E. Terry-Morgan,0,1,0,0,0,0,AFRI,1050E,E. Terry-Morgan,Spring 2015,4.75,4.54,4.0,7.0,7,7,True
8,AFRI 1100C,Slavery and Empire in the United States,26823,M 3-5:30p,Z. Sell,0,0,0,0,0,0,AFRI,1100C,Z. Sell,Spring 2018,4.58,4.97,6.5,8.8,5,5,True
9,AFRI 1110,Voices Beneath the Veil,16817,TTh 10:30-11:50a,E. Terry-Morgan,1,1,0,0,0,0,AFRI,1110,E. Terry-Morgan,Fall 2013,4.59,4.48,3.44,6.0,9,9,True
10,AFRI 1110,Voices Beneath the Veil,16817,TTh 10:30-11:50a,E. Terry-Morgan,1,1,0,0,0,0,AFRI,1110,E. Terry-Morgan,Fall 2006,4.63,4.60,,,14,16,True
11,AFRI 1360,"Africana Studies: Knowledge, Texts and Methodology",25125,Th 4-6:30p,P. Henry,1,1,0,0,0,0,AFRI,1360,B. Meeks,Spring 2018,3.41,4.60,4.58,7.92,12,14,False
12,AMST 1900P,Essaying Culture,24728,TTh 1-2:20p,R. Rodriguez,1,0,0,0,0,0,AMST,1900P,R. Rodriguez,Spring 2016,4.66,4.82,4.13,8.8,16,19,True
13,ETHN 1000,Introduction to American/Ethnic Studies,16241,MW 1-1:50p,K. Escudero,0,1,0,0,1,0,ETHN,1000,E. Hoover,Fall 2017,4.09,4.64,3.1,8.31,61,86,False
14,ETHN 1000,Introduction to American/Ethnic Studies,17220,M 2-2:50p,K. Escudero,0,1,0,0,1,0,ETHN,1000,E. Hoover,Fall 2017,4.09,4.64,3.1,8.31,61,86,False
15,ETHN 1000,Introduction to American/Ethnic Studies,17221,W 2-2:50p,K. Escudero,0,1,0,0,1,0,ETHN,1000,E. Hoover,Fall 2017,4.09,4.64,3.1,8.31,61,86,False
16,ETHN 1000,Introduction to American/Ethnic Studies,17222,F 2-2:50p,K. Escudero,0,1,0,0,1,0,ETHN,1000,E. Hoover,Fall 2017,4.09,4.64,3.1,8.31,61,86,False
17,ETHN 1000,Introduction to American/Ethnic Studies,18187,F 1-1:50p,K. Escudero,0,1,0,0,1,0,ETHN,1000,E. Hoover,Fall 2017,4.09,4.64,3.1,8.31,61,86,False
18,STS 0050,Science Fictions: The Misuse of Science in Public Life,27140,TTh 1-2:20p,TBD,1,0,1,0,0,0,STS,0050,C. Dean,Fall 2018,3.77,4.49,2.31,6.77,13,13,False
19,STS 1000,"Introduction to Science, Technology and Society: Theories and Controversies",24702,TTh 10:30-11:50a,D. Weinstein,1,0,0,0,0,0,STS,1000,J. Richards,Spring 2019,3.18,4.30,3.82,9.55,11,12,False
20,ANTH 0066J,So You Want to Change the World?,16187,W 3-5:30p,Smith/Moral,1,1,1,0,0,0,ANTH,0066J,D. Smith,Fall 2016,4.45,4.60,6.62,13.0,14,18,False
21,ANTH 0066J,So You Want to Change the World?,16187,W 3-5:30p,Smith/Moral,1,1,1,0,0,0,ANTH,0066J,B. Dahl,Fall 2009,4.59,4.40,4.0,9.65,20,22,False
22,ANTH 0300,Culture and Health,25131,MW 11-11:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
23,ANTH 0300,Culture and Health,25132,F 11-11:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
24,ANTH 0300,Culture and Health,25134,F 9-9:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
25,ANTH 0300,Culture and Health,25135,Th 12-12:50p,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
26,ANTH 0300,Culture and Health,26881,Th 10-10:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
27,ANTH 0300,Culture and Health,26887,Th 11-11:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
28,ANTH 0300,Culture and Health,26882,Th 9-9:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
29,ANTH 0300,Culture and Health,27429,Th 11-11:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
30,ANTH 0300,Culture and Health,27428,F 11-11:50a,K. Mason,1,1,0,0,0,0,ANTH,0300,S. Hamdy,Spring 2016,4.08,4.06,4.33,8.31,62,107,False
31,ANTH 0500,Past Forward: Discovering Anthropological Archaeology,16190,MWF 12-12:50p,Team,0,0,0,0,0,0,ANTH,0500,P. VanValkenburgh,Fall 2020,4.37,4.90,4.07,7.67,15,36,False
32,ANTH 0500,Past Forward: Discovering Anthropological Archaeology,16190,MWF 12-12:50p,Team,0,0,0,0,0,0,ANTH,0500,D. Anderson,Fall 2010,4.11,3.87,4.12,7.77,13,27,False
33,ANTH 0500,Past Forward: Discovering Anthropological Archaeology,16190,MWF 12-12:50p,Team,0,0,0,0,0,0,ANTH,0500,R. Gould,Fall 1996,3.79,3.99,,,67,94,False
34,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26861,MW 2-2:50p,P. Faudree,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
35,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26861,MW 2-2:50p,P. Faudree,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
36,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26861,MW 2-2:50p,P. Faudree,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
37,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26862,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
38,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26862,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
39,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26862,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
40,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26863,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
41,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26863,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
42,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26863,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
43,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26864,F 3-3:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
44,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26864,F 3-3:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
